pos_x,pos_y
2.876615,0.0
3.377366,0.0
3.877776,0.0
4.378952,0.0
4.880098,0.0
5.381326,0.0
5.881803,0.0
6.38323,0.0
6.886738,0.0
7.388835,0.0
7.888946,0.0
8.388995,0.000604
8.889576,0.114553
9.390488,0.567198
9.555077,1.068222
9.622612,1.572085
9.689344,2.072851
9.755938,2.572912
9.747468,3.07345
9.658996,3.573871
9.664016,4.075214
9.664094,4.575235
9.66424,5.076834
9.664455,5.579209
9.66474,6.080812
9.665094,6.581749
9.665519,7.08273
9.663873,7.582937
9.528177,8.0848
9.028126,8.578259
8.527976,8.721062
8.027939,8.764241
7.527745,8.736203
7.026826,8.706626
6.524584,8.676939
6.023302,8.647277
5.523296,8.617658
5.022767,8.587975
4.521907,8.558239
4.021491,8.560514
3.521402,8.554441
3.021267,8.551652
2.520235,8.548857
2.020165,8.546066
1.518894,8.543267
1.017728,8.540468
0.511199,8.537638
0.008877,8.53483
-0.49321,8.532023
-0.994256,8.52922
-1.495511,8.526415
-1.99559,8.523615
-2.495905,8.520813
-2.999298,8.517993
-3.49984,8.515187
-4.001109,8.512377
-4.501562,8.50957
-5.002547,8.506758
-5.502984,8.503949
-6.004316,8.501134
-6.505892,8.498316
-7.006195,8.495504
-7.507811,8.492684
-8.008918,8.489865
-8.510417,8.487043
-9.01177,8.484221
-9.511877,8.481405
-10.01478,8.478572
-10.515797,8.475748
-11.01729,8.472921
-11.522648,8.47007
-12.023132,8.467247
-12.531209,8.464379
-13.031823,8.415813
-13.533134,8.122812
-13.835707,7.62236
-13.909338,7.122318
-13.916799,6.61908
-13.924936,6.118676
-13.933071,5.618291
-13.941209,5.117684
-13.949343,4.617191
-13.957499,4.115259
-13.965642,3.613983
-13.973793,3.112159
-13.981928,2.611201
-13.990047,2.111133
-13.998211,1.608165
-14.006354,1.106424
-13.994016,0.599852
-13.784432,0.097372
-13.282495,-0.294444
-12.779499,-0.377521
-12.278043,-0.354573
-11.777746,-0.327258
-11.277119,-0.299856
-10.776164,-0.272409
-10.271033,-0.244706
-9.770634,-0.217235
-9.269967,-0.189721
-8.769456,-0.162188
-8.268772,-0.134617
-7.76711,-0.106965
-7.266706,-0.079353
-6.766427,-0.051721
-6.265974,-0.02405
-5.765757,0.003635
-5.26456,0.031403
-4.763829,0.059173
-4.260626,0.087108
-3.759779,0.114941
-3.259527,0.142769
-2.755858,0.170816
-2.255061,0.13065
-1.754637,0.016532
-1.254429,-0.009059
-0.75417,-0.008485
-0.252415,-0.007974
0.249141,-0.007529
0.749624,-0.007154
1.249629,-0.006848
1.750325,-0.00661
2.254217,-0.006441
2.755816,-0.006343
3.258556,-0.006314
3.760223,-0.006356
4.261661,-0.006468
4.762144,-0.006649
5.262827,-0.0069
5.763971,-0.007221
6.267103,-0.007613
6.76754,-0.008074
7.267921,-0.008604
7.768537,-0.009203
8.271094,-0.009876
8.771502,0.045064
